STT_Goc,Chuong,Ten_Chuong,Tu_Vung,Nghia
1,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),人生 (じんせい),"Đời người, cuộc đời"
2,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),人間 (にんげん),con người
3,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),人 (ひと),người
4,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),祖先 (そせん),"tổ tiên, tổ tông"
5,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),親戚 (しんせき),họ hàng
6,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),夫婦 (ふうふ),vợ chồng
7,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),長男 (ちょうなん),trưởng nam
8,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),主人 (しゅじん),"chồng, chủ tiệm"
9,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),双子 (ふたご),sinh đôi
10,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),迷子 (まいご),"lạc đường, lạc lối"
11,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),他人 (たにん),"người dưng, người lạ"
12,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),敵 (てき),kẻ thủ
13,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),味方 (みかた),"bạn bè, đồng minh"
14,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),筆者 (ひっしゃ),"tác giả, người viết"
15,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),寿命 (じゅみょう),tuổi thọ
16,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),将来 (しょうらい),tương lai
17,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),才能 (さいのう),tài năng
18,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),能力 (のうりょく),năng lực
19,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),長所 (ちょうしょ),"sở trường, điểm mạnh"
20,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),個性 (こせい),"cá tính, tính cách"
21,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),遺伝 (いでん),di truyền
22,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),動作 (どうさ),"động tác, hành vi, thao tác"
23,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),真似 (まね),"bắt chước, copy"
24,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),睡眠 (すいみん),ngủ
25,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),食欲 (しょくよく),thèm ăn
26,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),外食 (がいしょく),ăn ngoài
