stt,term,reading,romaji,han_viet,meaning,type,exam_ja,exam_vi,kanji_breakdown,pitch_accent,synonyms_antonyms,card_type
1021,匂う,におう,niou,Mùi,có mùi -  đáng nghi,Động từ nhóm 1,状況に合わせて適切に匂う。,Có mùi một cách phù hợp theo tình huống.,匂 (Mùi: mùi hương/mùi vị),[0],連: 匂うに関する / 類: có mùi,vocab
1022,飢える,うえる,ueru,Cơ,đói -  thèm -  khao khát,Động từ nhóm 2,状況に合わせて適切に飢える。,Đói một cách phù hợp theo tình huống.,飢 (Cơ: đói khát/cơ hàn),[0],連: 飢えるに関する / 類: đói,vocab
1023,問う,とう,tou,Vấn,đòi hỏi -  yêu cầu,Động từ nhóm 1,状況に合わせて適切に問う。,Đòi hỏi một cách phù hợp theo tình huống.,問 (Vấn: hỏi/vấn đề),[0],連: 問うに関する / 類: đòi hỏi,vocab
1024,語る,かたる,kataru,Ngữ,kể lại -  thuật lại,Động từ nhóm 1,状況に合わせて適切に語る。,Kể lại một cách phù hợp theo tình huống.,語 (Ngữ: ngôn ngữ/kể chuyện),[0],連: 語るに関する / 類: kể lại,vocab
1025,誓う,ちかう,chikau,Thệ,thề -  hứa,Động từ nhóm 1,状況に合わせて適切に誓う。,Thề một cách phù hợp theo tình huống.,誓 (Thệ: thề nguyện/tuyên thệ),[0],連: 誓うに関する / 類: thề,vocab
1026,支える,ささえる,sasaeru,Chi,hỗ trợ -  giữ -  duy trì -  nâng đỡ,Động từ nhóm 2,状況に合わせて適切に支える。,Hỗ trợ một cách phù hợp theo tình huống.,支 (Chi: chống đỡ/chi trả),[1],連: 支えるに関する / 類: hỗ trợ,vocab
1027,費やす,ついやす,tsuiyasu,Phí,tiêu hao -  hao phí,Động từ nhóm 1,状況に合わせて適切に費やす。,Tiêu hao một cách phù hợp theo tình huống.,費 (Phí: chi phí/tiêu phí),[1],連: 費やすに関する / 類: tiêu hao,vocab
1028,用いる,もちいる,mochiiru,Dụng,sử dụng -  tiếp nhận -  bổ nhiệm,Động từ nhóm 2,状況に合わせて適切に用いる。,Sử dụng một cách phù hợp theo tình huống.,用 (Dụng: sử dụng/công dụng),[1],連: 用いるに関する / 類: sử dụng,vocab
1029,改まる,あらたまる,aratamaru,Cải,thay đổi -  khách sáo -  giữ ý,Động từ nhóm 1,状況に合わせて適切に改まる。,Thay đổi một cách phù hợp theo tình huống.,改 (Cải: cải thiện/sửa đổi),[1],連: 改まるに関する / 類: thay đổi,vocab
1030,改める,あらためる,aratameru,Cải,cải tiến -  thay đổi -  kiểm tra xác nhận -  cải thiện,Động từ nhóm 2,状況に合わせて適切に改める。,Cải tiến một cách phù hợp theo tình huống.,改 (Cải: cải thiện/sửa đổi),[1],連: 改めるに関する / 類: cải tiến,vocab
1031,収まる・納まる,おさまる,osamaru,Thu Nạp,thỏa lòng -  vừa vặn -  lắng xuống,Động từ nhóm 1,状況に合わせて適切に収まる・納まる。,Thỏa lòng một cách phù hợp theo tình huống.,収 (Thu: thu hoạch/thu nhận) + 納 (Nạp: nộp vào/thu nạp),[1],連: 収まる・納まるに関する / 類: thỏa lòng,vocab
1032,収める,おさめる,osameru,Thu,giải quyết -  đạt được -  cất giấu -  thu được -  nộp...,Động từ nhóm 2,状況に合わせて適切に収める。,Giải quyết một cách phù hợp theo tình huống.,収 (Thu: thu hoạch/thu nhận),[1],連: 収めるに関する / 類: giải quyết,vocab
1033,沿う・添う,そう,sou,Duyên Thiêm,dọc theo -  men theo,Động từ nhóm 1,状況に合わせて適切に沿う・添う。,Dọc theo một cách phù hợp theo tình huống.,沿 (Duyên: dọc theo/men theo) + 添 (Thiêm: thêm vào/đính kèm),[0],連: 沿う・添うに関する / 類: dọc theo,vocab
