stt,term,reading,romaji,han_viet,meaning,type,exam_ja,exam_vi,kanji_breakdown,pitch_accent,synonyms_antonyms,card_type
1,人生,じんせい,jinsei,Nhân Sinh,Đời người - cuộc đời,Danh từ,幸せな人生を送る。,Sống một cuộc đời hạnh phúc.,人 (Nhân: người) + 生 (Sinh: sống/sinh mệnh),[1],類: 生涯 (cuộc đời) / 対: 死 (cái chết),vocab
2,人間,にんげん,ningen,Nhân Gian,Con người - nhân loại,Danh từ,人間は皆平等である。,Con người ai cũng bình đẳng.,人 (Nhân: người) + 間 (Gian: khoảng giữa/thế gian),[0],類: 人類 (nhân loại) / 人 (người),vocab
3,祖先,そせん,sosen,Tổ Tiên,Tổ tiên - tổ tông,Danh từ,人類の祖先はアフリカで生まれた。,Tổ tiên loài người sinh ra ở châu Phi.,祖 (Tổ: ông bà tổ tiên) + 先 (Tiên: trước tiên),[1],類: 先祖 (tiên tổ) / 対: 子孫 (con cháu),vocab
4,親戚,しんせき,shinseki,Thân Thích,Họ hàng - thân thích,Danh từ,お正月に親戚が集まる。,Họ hàng tập trung lại vào dịp Tết.,親 (Thân: cha mẹ/thân thiết) + 戚 (Thích: họ hàng),[0],類: 親類 (thân quyến) / 親族 (thân tộc),vocab
5,夫婦,ふうふ,fuufu,Phu Phụ,Vợ chồng,Danh từ,仲のいい夫婦だ。,Họ là cặp vợ chồng rất hòa thuận.,夫 (Phu: chồng) + 婦 (Phụ: đàn bà/vợ),[1],類: 夫妻 (phu thê / vợ chồng),vocab
6,長男,ちょうなん,chounan,Trưởng Nam,Con trai cả - trưởng nam,Danh từ,長男は大学を卒業した。,Con trai cả đã tốt nghiệp đại học.,長 (Trưởng: lớn nhất) + 男 (Nam: con trai),[1],対: 長女 (trưởng nữ) / 次男 (con thứ),vocab
7,主人,しゅじん,shujin,Chủ Nhân,Chồng mình - chủ tiệm/người chủ,Danh từ,うちの主人は会社員です。,Chồng tôi là nhân viên công ty.,主 (Chủ: làm chủ) + 人 (Nhân: người),[1],類: 夫 (chồng) / マスター (chủ quán),vocab
8,双子,ふたご,futago,Song Tử,Sinh đôi - cặp song sinh,Danh từ,彼女は双子を出産した。,Cô ấy đã sinh đôi.,双 (Song: đôi/cặp) + 子 (Tử: đứa con),[0],類: 双生児 (trẻ sinh đôi),vocab
9,迷子,まいご,maigo,Mê Tử,Trẻ lạc - lạc đường,Danh từ,デパートで迷子になった。,Tôi bị lạc ở trung tâm thương mại.,迷 (Mê: lạc lối/phân vân) + 子 (Tử: con),[1],類: 迷い子 (đứa trẻ bị lạc),vocab
10,他人,たにん,tanin,Tha Nhân,Người ngoài - người dưng,Danh từ,他人の意見に耳を傾ける。,Lắng nghe ý kiến của người khác.,他 (Tha: khác/người khác) + 人 (Nhân: người),[0],対: 自分 (bản thân) / 家族 (gia đình),vocab
11,敵,てき,teki,Địch,Kẻ thù - đối thủ,Danh từ,敵と味方に分かれて戦う。,Chia thành phe ta và phe địch để chiến đấu.,敵 (Địch: kẻ thù/đối địch),[0],対: 味方 (đồng minh/bạn bè),vocab
12,味方,みかた,mikata,Vị Phương,Bạn bè - đồng minh - đứng về phía ai,Danh từ,私はいつでもあなたの味方です。,Tôi luôn luôn đứng về phía bạn.,味 (Vị: nếm/hương vị) + 方 (Phương: hướng/người),[0],対: 敵 (kẻ thù/đối thủ),vocab
13,筆者,ひっしゃ,hissha,Bút Giả,Tác giả - người viết,Danh từ,筆者の考えに賛成する。,Tôi đồng ý với suy nghĩ của tác giả.,筆 (Bút: cây bút) + 者 (Giả: người),[1],類: 著者 (tác giả) / 作者 (tác giả),vocab
14,寿命,じゅみょう,jumyou,Thọ Mệnh,Tuổi thọ - đời thọ của đồ vật,Danh từ,日本の平均寿命は延びている。,Tuổi thọ trung bình của Nhật Bản đang tăng lên.,寿 (Thọ: sống lâu) + 命 (Mệnh: tính mạng),[0],類: 命 (sinh mạng),vocab
15,将来,しょうらい,shourai,Tương Lai,Tương lai gần - triển vọng,Danh từ,将来の夢は医者になることです。,Ước mơ tương lai là trở thành bác sĩ.,将 (Tương: sắp sửa) + 来 (Lai: đến),[1],類: 未来 (tương lai xa / thế giới mai sau),vocab
16,才能,さいのう,sainou,Tài Năng,Tài năng - năng khiếu,Danh từ,彼女は音楽の才能がある。,Cô ấy có tài năng về âm nhạc.,採/才 (Tài: tài giỏi) + 能 (Năng: khả năng),[0],類: 天才 (thiên tài) / 素質 (tố chất),vocab
