stt,term,reading,romaji,han_viet,meaning,type,exam_ja,exam_vi,kanji_breakdown,pitch_accent,synonyms_antonyms,card_type
751,膨らむ,ふくらむ,fukuramu,Bành,phồng -  phình -  tăng lên...,Động từ nhóm 1,状況に合わせて適切に膨らむ。,Phồng một cách phù hợp theo tình huống.,膨 (Bành: phình to/phồng lên),[1],連: 膨らむに関する / 類: phồng,vocab
752,膨らます,ふくらます,fukuramasu,Bành,thổi phồng -  làm phong phú,Tính từ -na,膨らますな態度で対応する。,Ứng phó bằng một thái độ thổi phồng.,膨 (Bành: phình to/phồng lên),[1],連: 膨らますに関する / 類: thổi phồng,vocab
753,とがる,とがる,togaru,-,nhọn,Danh từ,とがるについて詳しく調査する。,Nghiên cứu kỹ lưỡng về nhọn.,-,[0],連: とがるに関する / 類: nhọn,vocab
754,当てはまる,あてはまる,atehamaru,Đương,áp dụng -  hợp với -  đúng,Động từ nhóm 1,状況に合わせて適切に当てはまる。,Áp dụng một cách phù hợp theo tình huống.,当 (Đương: chính xác/đảm đương),[1],連: 当てはまるに関する / 類: áp dụng,vocab
755,就く,つく,tsuku,Tựu,đi theo -  đi cùng -  đảm nhiệm -  nắm giữ -  tiếp nhận,Động từ nhóm 1,状況に合わせて適切に就く。,Đi theo một cách phù hợp theo tình huống.,就 (Tựu: bắt đầu/đạt được/đi làm),[0],連: 就くに関する / 類: đi theo,vocab
756,受け持つ,うけもつ,ukemotsu,Thụ Trì,đảm nhận,Động từ nhóm 1,状況に合わせて適切に受け持つ。,Đảm nhận một cách phù hợp theo tình huống.,受 (Thụ: nhận/tiếp nhận) + 持 (Trì: cầm/nắm giữ/duy trì),[1],連: 受け持つに関する / 類: đảm nhận,vocab
757,従う,したがう,shitagau,Tùng,theo -  tuân theo -  tuân thủ,Động từ nhóm 1,状況に合わせて適切に従う。,Theo một cách phù hợp theo tình huống.,従 (Tùng: tuân theo/tùy tùng),[1],連: 従うに関する / 類: theo,vocab
758,つぶやく,つぶやく,tsubuyaku,-,thì thầm,Danh từ,つぶやくについて詳しく調査する。,Nghiên cứu kỹ lưỡng về thì thầm.,-,[1],連: つぶやくに関する / 類: thì thầm,vocab
759,述べる,のべる,noberu,Thuật,phát biểu -  bày tỏ -  trình bày,Động từ nhóm 1,状況に合わせて適切に述べる。,Phát biểu một cách phù hợp theo tình huống.,述 (Thuật: trình bày/miêu tả),[0],連: 述べるに関する / 類: phát biểu,vocab
760,目覚める,めざめる,mezameru,Mục Giác,thức giấc -  quan tâm -  tự nhận thức,Động từ nhóm 2,状況に合わせて適切に目覚める。,Thức giấc một cách phù hợp theo tình huống.,目 (Mục: mắt/mục tiêu) + 覚 (Giác: ghi nhớ/tỉnh giấc/cảm giác),[1],連: 目覚めるに関する / 類: thức giấc,vocab
761,限る,かぎる,kagiru,Hạn,giới hạn -  hạn chế -  không bắt buộc,Động từ nhóm 1,状況に合わせて適切に限る。,Giới hạn một cách phù hợp theo tình huống.,限 (Hạn: giới hạn/hạn độ),[0],連: 限るに関する / 類: giới hạn,vocab
762,片寄る,かたよる,katayoru,Phiến Ký,nghiêng -  lệch -  thiếu...,Động từ nhóm 1,状況に合わせて適切に片寄る。,Nghiêng một cách phù hợp theo tình huống.,片 (Phiến: một bên/mảnh vụn) + 寄 (Ký: gửi/ghé qua),[1],連: 片寄るに関する / 類: nghiêng,vocab
763,薄まる,うすまる,usumaru,Bạc,suy nhược -  nhạt đi -  phai nhòa,Động từ nhóm 1,状況に合わせて適切に薄まる。,Suy nhược một cách phù hợp theo tình huống.,薄 (Bạc: mỏng manh/nhạt nhòa),[1],連: 薄まるに関する / 類: suy nhược,vocab
764,薄める,うすめる,usumeru,Bạc,làm nhạt đi; làm thưa bớt -  làm loãng,Động từ nhóm 2,状況に合わせて適切に薄める。,Làm nhạt đi một cách phù hợp theo tình huống.,薄 (Bạc: mỏng manh/nhạt nhòa),[1],連: 薄めるに関する / 類: làm nhạt đi; làm thưa bớt,vocab
765,薄れる,うすれる,usureru,Bạc,nhạt dần -  phai dần,Động từ nhóm 2,状況に合わせて適切に薄れる。,Nhạt dần một cách phù hợp theo tình huống.,薄 (Bạc: mỏng manh/nhạt nhòa),[1],連: 薄れるに関する / 類: nhạt dần,vocab
766,透き通る,すきとおる,sukitooru,Thấu Thông,trong suốt -  trong vắt,Động từ nhóm 1,状況に合わせて適切に透き通る。,Trong suốt một cách phù hợp theo tình huống.,透 (Thấu: trong suốt/xuyên thấu) + 通 (Thông: thông suốt/đi lại/hiểu biết),[1],連: 透き通るに関する / 類: trong suốt,vocab
767,静まる・鎮まる,しずまる,shizumaru,Tĩnh Trấn,yên tĩnh -  dịu đi -  im lặng,Động từ nhóm 1,状況に合わせて適切に静まる・鎮まる。,Yên tĩnh một cách phù hợp theo tình huống.,静 (Tĩnh: yên tĩnh/thanh tĩnh) + 鎮 (Trấn: trấn tĩnh/dẹp yên),[1],連: 静まる・鎮まるに関する / 類: yên tĩnh,vocab
768,静める・鎮める,しずめる,shizumeru,Tĩnh Trấn,trấn tĩnh -  làm bớt đi,Động từ nhóm 2,状況に合わせて適切に静める・鎮める。,Trấn tĩnh một cách phù hợp theo tình huống.,静 (Tĩnh: yên tĩnh/thanh tĩnh) + 鎮 (Trấn: trấn tĩnh/dẹp yên),[1],連: 静める・鎮めるに関する / 類: trấn tĩnh,vocab
769,優れる,すぐれる,sugureru,Ưu,giỏi -  ưu tú -  hoàn hảo,Động từ nhóm 2,状況に合わせて適切に優れる。,Giỏi một cách phù hợp theo tình huống.,優 (Ưu: ưu tú/dịu dàng),[1],連: 優れるに関する / 類: giỏi,vocab
770,落ち着く,おちつく,ochitsuku,Lạc Trước,bình tĩnh -  lắng xuống -  quyết định -  đơn giản,Tính từ -na,落ち着くな態度で対応する。,Ứng phó bằng một thái độ bình tĩnh.,落 (Lạc: rơi xuống/rụng) + 着 (Trước: mặc quần áo/đến nơi),[1],連: 落ち着くに関する / 類: bình tĩnh,vocab
771,長引く,ながびく,nagabiku,Trường Dẫn,kéo dài,Động từ nhóm 1,状況に合わせて適切に長引く。,Kéo dài một cách phù hợp theo tình huống.,長 (Trường: dài/lớn nhất/thủ trưởng) + 引 (Dẫn: kéo/dẫn dắt),[1],連: 長引くに関する / 類: kéo dài,vocab
772,衰える,おとろえる,otoroeru,Suy,yếu dần đi -  sa sút,Động từ nhóm 2,状況に合わせて適切に衰える。,Yếu dần đi một cách phù hợp theo tình huống.,衰 (Suy: suy yếu/suy thoái),[1],連: 衰えるに関する / 類: yếu dần đi,vocab
773,備わる,そなわる,sonawaru,Bị,lắp đặt -  sẵn có -  sở hữu..,Động từ nhóm 1,状況に合わせて適切に備わる。,Lắp đặt một cách phù hợp theo tình huống.,備 (Bị: chuẩn bị/trang bị),[1],連: 備わるに関する / 類: lắp đặt,vocab
774,備える,そなえる,sonaeru,Bị,chuẩn bị -  trang bị -  cung cấp,Động từ nhóm 2,状況に合わせて適切に備える。,Chuẩn bị một cách phù hợp theo tình huống.,備 (Bị: chuẩn bị/trang bị),[1],連: 備えるに関する / 類: chuẩn bị,vocab
775,蓄える,たくわえる,takuwaeru,Súc,tích lũy -  dự trữ,Động từ nhóm 2,状況に合わせて適切に蓄える。,Tích lũy một cách phù hợp theo tình huống.,蓄 (Súc: tích lũy/chứa chấp),[1],連: 蓄えるに関する / 類: tích lũy,vocab
776,整う,ととのう,totonou,Chỉnh,Đã sẵn sàng -  chuẩn bị -  sắp đặt,Động từ nhóm 1,状況に合わせて適切に整う。,Đã sẵn sàng một cách phù hợp theo tình huống.,整 (Chỉnh: chỉnh đốn/sắp xếp),[1],連: 整うに関する / 類: Đã sẵn sàng,vocab
777,整える・調える,ととのえる,totonoeru,Chỉnh Điệu,hoàn thiện -  chỉnh chu -  điều chinh,Động từ nhóm 2,状況に合わせて適切に整える・調える。,Hoàn thiện một cách phù hợp theo tình huống.,整 (Chỉnh: chỉnh đốn/sắp xếp) + 調 (Điệu: điều tra/giai điệu/điều chỉnh),[1],連: 整える・調えるに関する / 類: hoàn thiện,vocab
778,覆う,おおう,oou,Phúc,phủ -  bao bọc -  bịt,Động từ nhóm 1,状況に合わせて適切に覆う。,Phủ một cách phù hợp theo tình huống.,覆 (Phúc: phủ lên/lật ngược),[0],連: 覆うに関する / 類: phủ,vocab
779,照る,てる,teru,Chiếu,chiếu sáng,Động từ nhóm 2,状況に合わせて適切に照る。,Chiếu sáng một cách phù hợp theo tình huống.,照 (Chiếu: chiếu sáng/đối chiếu),[0],連: 照るに関する / 類: chiếu sáng,vocab
780,照らす,てらす,terasu,Chiếu,chiếu theo -  căn cứ vào,Động từ nhóm 1,状況に合わせて適切に照らす。,Chiếu theo một cách phù hợp theo tình huống.,照 (Chiếu: chiếu sáng/đối chiếu),[0],連: 照らすに関する / 類: chiếu theo,vocab
781,染まる,そまる,somaru,Nhiễm,nhuộm -  nhiễm,Động từ nhóm 1,状況に合わせて適切に染まる。,Nhuộm một cách phù hợp theo tình huống.,染 (Nhiễm: nhiễm/nhuộm màu),[0],連: 染まるに関する / 類: nhuộm,vocab
782,染める,そめる,someru,Nhiễm,nhuộm -  nhúng tay,Động từ nhóm 2,状況に合わせて適切に染める。,Nhuộm một cách phù hợp theo tình huống.,染 (Nhiễm: nhiễm/nhuộm màu),[0],連: 染めるに関する / 類: nhuộm,vocab
783,ダブル,だぶる,daburu,-,gấp đôi -  trùng nhau -  nhắc lai,Danh từ,ダブルについて詳しく調査する。,Nghiên cứu kỹ lưỡng về gấp đôi.,-,[0],連: ダブルに関する / 類: gấp đôi,vocab
784,あこがれる,あこがれる,akogareru,-,mong ước -  mơ ước -  ngưỡng mộ -  khao khát,Danh từ,あこがれるについて詳しく調査する。,Nghiên cứu kỹ lưỡng về mong ước.,-,[1],連: あこがれるに関する / 類: mong ước,vocab
785,うらやむ,うらやむ,urayamu,-,đố kỵ,Danh từ,うらやむについて詳しく調査する。,Nghiên cứu kỹ lưỡng về đố kỵ.,-,[1],連: うらやむに関する / 類: đố kỵ,vocab
786,あきらめる,あきらめる,akirameru,-,từ bỏ,Động từ nhóm 2,状況に合わせて適切にあきらめる。,Từ bỏ một cách phù hợp theo tình huống.,-,[1],連: あきらめるに関する / 類: từ bỏ,vocab
787,あきれる,あきれる,akireru,-,ngạc nhiên -  cạn lời -  bó tay,Danh từ,あきれるについて詳しく調査する。,Nghiên cứu kỹ lưỡng về ngạc nhiên.,-,[1],連: あきれるに関する / 類: ngạc nhiên,vocab
788,恐れる,おそれる,osoreru,Khủng,sợ -  nguy cơ -  khủng khiếp,Động từ nhóm 2,状況に合わせて適切に恐れる。,Sợ một cách phù hợp theo tình huống.,恐 (Khủng: lo sợ/khủng khiếp),[1],連: 恐れるに関する / 類: sợ,vocab
789,恨む,うらむ,uramu,Hận,hận -  căm thù -  oán hận,Động từ nhóm 1,状況に合わせて適切に恨む。,Hận một cách phù hợp theo tình huống.,恨 (Hận: oán hận/hận thù),[0],連: 恨むに関する / 類: hận,vocab
790,慰める,なぐさめる,nagusameru,Úy,an ủi -  động viên,Động từ nhóm 2,状況に合わせて適切に慰める。,An ủi một cách phù hợp theo tình huống.,慰 (Úy: an ủi/động viên),[1],連: 慰めるに関する / 類: an ủi,vocab
791,インテリア,いんてりあ,interia,-,nội thất,Danh từ,インテリアについて詳しく調査する。,Nghiên cứu kỹ lưỡng về nội thất.,-,[1],連: インテリアに関する / 類: nội thất,vocab
792,コーナー,こーなー,koonaa,-,góc,Danh từ,コーナーについて詳しく調査する。,Nghiên cứu kỹ lưỡng về góc.,-,[1],連: コーナーに関する / 類: góc,vocab
793,カウンター,かうんたー,kauntaa,-,quầy tính tiền,Tính từ -na,カウンターな態度で対応する。,Ứng phó bằng một thái độ quầy tính tiền.,-,[1],連: カウンターに関する / 類: quầy tính tiền,vocab
794,スペース,すぺーす,supeesu,-,khoảng trống,Danh từ,スペースについて詳しく調査する。,Nghiên cứu kỹ lưỡng về khoảng trống.,-,[1],連: スペースに関する / 類: khoảng trống,vocab
795,オープン,おーぷん,oopun,-,cửa mở,Danh từ,オープンについて詳しく調査する。,Nghiên cứu kỹ lưỡng về cửa mở.,-,[1],連: オープンに関する / 類: cửa mở,vocab
796,センター,せんたー,sentaa,-,trung tâm,Danh từ,センターについて詳しく調査する。,Nghiên cứu kỹ lưỡng về trung tâm.,-,[1],連: センターに関する / 類: trung tâm,vocab
797,カルチャー,かるちゃー,karuchaa,-,văn hóa,Danh từ,カルチャーについて詳しく調査する。,Nghiên cứu kỹ lưỡng về văn hóa.,-,[1],連: カルチャーに関する / 類: văn hóa,vocab
798,ブーム,ぶーむ,buumu,-,bùng nổ,Danh từ,ブームについて詳しく調査する。,Nghiên cứu kỹ lưỡng về bùng nổ.,-,[0],連: ブームに関する / 類: bùng nổ,vocab
799,$1\times7*-x-$ ション,$1\times7*-x-$ しょん,$1\times7*-x-$shon,-,thông tin,Danh từ,$1\times7*-x-$ ションについて詳しく調査する。,Nghiên cứu kỹ lưỡng về thông tin.,-,[1],連: $1\times7*-x-$ ションに関する / 類: thông tin,vocab
800,キャッチ,きゃっち,kyatchi,-,bắt lấy,Danh từ,キャッチについて詳しく調査する。,Nghiên cứu kỹ lưỡng về bắt lấy.,-,[1],連: キャッチに関する / 類: bắt lấy,vocab
801,メディア,めでぃあ,media,-,truyền thông,Danh từ,メディアについて詳しく調査する。,Nghiên cứu kỹ lưỡng về truyền thông.,-,[1],連: メディアに関する / 類: truyền thông,vocab
802,コメント,こめんと,komento,-,bình luận,Danh từ,コメントについて詳しく調査する。,Nghiên cứu kỹ lưỡng về bình luận.,-,[1],連: コメントに関する / 類: bình luận,vocab
803,コラム,こらむ,koramu,-,cột,Danh từ,コラムについて詳しく調査する。,Nghiên cứu kỹ lưỡng về cột.,-,[0],連: コラムに関する / 類: cột,vocab
804,エピソード,えぴそーど,episoodo,-,chương; phần,Danh từ,エピソードについて詳しく調査する。,Nghiên cứu kỹ lưỡng về chương.,-,[1],連: エピソードに関する / 類: chương; phần,vocab
805,アリバイ,ありばい,aribai,-,chứng cứ ngoại phạm,Danh từ,アリバイについて詳しく調査する。,Nghiên cứu kỹ lưỡng về chứng cứ ngoại phạm.,-,[1],連: アリバイに関する / 類: chứng cứ ngoại phạm,vocab
806,シリーズ,しりーず,shiriizu,-,loạt,Danh từ,シリーズについて詳しく調査する。,Nghiên cứu kỹ lưỡng về loạt.,-,[1],連: シリーズに関する / 類: loạt,vocab
807,ポイント,ぽいんと,pointo,-,điểm mấu chốt,Danh từ,ポイントについて詳しく調査する。,Nghiên cứu kỹ lưỡng về điểm mấu chốt.,-,[1],連: ポイントに関する / 類: điểm mấu chốt,vocab
808,キー,きー,kii,-,chìa khóa,Danh từ,キーについて詳しく調査する。,Nghiên cứu kỹ lưỡng về chìa khóa.,-,[0],連: キーに関する / 類: chìa khóa,vocab
809,マスター,ますたー,masutaa,-,thuần thục,Danh từ,マスターについて詳しく調査する。,Nghiên cứu kỹ lưỡng về thuần thục.,-,[1],連: マスターに関する / 類: thuần thục,vocab
810,ビジネス,びじねす,bijinesu,-,business,Danh từ,ビジネスについて詳しく調査する。,Nghiên cứu kỹ lưỡng về business.,-,[1],連: ビジネスに関する / 類: business,vocab
811,キャリア,きゃりあ,kyaria,-,kinh nghiệm,Danh từ,キャリアについて詳しく調査する。,Nghiên cứu kỹ lưỡng về kinh nghiệm.,-,[1],連: キャリアに関する / 類: kinh nghiệm,vocab
812,ベテラン,べてらん,beteran,-,chuyên gia,Danh từ,ベテランについて詳しく調査する。,Nghiên cứu kỹ lưỡng về chuyên gia.,-,[1],連: ベテランに関する / 類: chuyên gia,vocab
813,フリー,ふりー,furii,-,tự do,Danh từ,フリーについて詳しく調査する。,Nghiên cứu kỹ lưỡng về tự do.,-,[0],連: フリーに関する / 類: tự do,vocab
814,エコノミー,えこのみー,ekonomii,-,kinh tế,Danh từ,エコノミーについて詳しく調査する。,Nghiên cứu kỹ lưỡng về kinh tế.,-,[1],連: エコノミーに関する / 類: kinh tế,vocab
815,キャッシュ,きゃっしゅ,kyasshu,-,tiền mặt,Danh từ,キャッシュについて詳しく調査する。,Nghiên cứu kỹ lưỡng về tiền mặt.,-,[1],連: キャッシュに関する / 類: tiền mặt,vocab
816,インフレ,いんふれ,infure,-,lạm phát,Danh từ,インフレについて詳しく調査する。,Nghiên cứu kỹ lưỡng về lạm phát.,-,[1],連: インフレに関する / 類: lạm phát,vocab
817,デモ,でも,demo,-,cuộc biểu tình,Danh từ,デモについて詳しく調査する。,Nghiên cứu kỹ lưỡng về cuộc biểu tình.,-,[0],連: デモに関する / 類: cuộc biểu tình,vocab
818,$x-7]-,$x-7]-,$x-7]-,-,nhà chế tạo,Danh từ,$x-7]-について詳しく調査する。,Nghiên cứu kỹ lưỡng về nhà chế tạo.,-,[1],連: $x-7]-に関する / 類: nhà chế tạo,vocab
819,システム,しすてむ,shisutemu,-,hệ thống,Danh từ,システムについて詳しく調査する。,Nghiên cứu kỹ lưỡng về hệ thống.,-,[1],連: システムに関する / 類: hệ thống,vocab
820,ケース,けーす,keesu,-,trường hợp,Danh từ,ケースについて詳しく調査する。,Nghiên cứu kỹ lưỡng về trường hợp.,-,[0],連: ケースに関する / 類: trường hợp,vocab
821,パターン,ぱたーん,pataan,-,mẫu,Danh từ,パターンについて詳しく調査する。,Nghiên cứu kỹ lưỡng về mẫu.,-,[1],連: パターンに関する / 類: mẫu,vocab
822,プラン,ぷらん,puran,-,kế hoạch,Danh từ,プランについて詳しく調査する。,Nghiên cứu kỹ lưỡng về kế hoạch.,-,[0],連: プランに関する / 類: kế hoạch,vocab
