stt,term,reading,romaji,han_viet,meaning,type,exam_ja,exam_vi,kanji_breakdown,pitch_accent,synonyms_antonyms,card_type
636,設定,せってい,settei,Thiết Định,thiết lập -  cài đặt,Danh từ,設定について詳しく調査する。,Nghiên cứu kỹ lưỡng về thiết lập.,設 (Thiết: thiết lập/xây dựng) + 定 (Định: cố định/quy định),[1],連: 設定に関する / 類: thiết lập,vocab
637,調節,ちょうせつ,chousetsu,Điệu Tiết,Điều chỉnh ( âm lượng -  nhiệt độ ),Động từ nhóm 1,状況に合わせて適切に調節。,Điều chỉnh ( âm lượng một cách phù hợp theo tình huống.,調 (Điệu: điều tra/giai điệu/điều chỉnh) + 節 (Tiết: tiết chế/đốt tre/tiết mục),[1],連: 調節に関する / 類: Điều chỉnh ( âm lượng,vocab
638,調整,ちょうせい,chousei,Điệu Chỉnh,điều chỉnh -  sắp xếp -  bố trí,Danh từ,調整について詳しく調査する。,Nghiên cứu kỹ lưỡng về điều chỉnh.,調 (Điệu: điều tra/giai điệu/điều chỉnh) + 整 (Chỉnh: chỉnh đốn/sắp xếp),[1],連: 調整に関する / 類: điều chỉnh,vocab
639,解放,かいほう,kaihou,Giải Phóng,giải phóng -  giải thoát,Danh từ,解放について詳しく調査する。,Nghiên cứu kỹ lưỡng về giải phóng.,解 (Giải: giải thích/giải tỏa/hiểu) + 放 (Phóng: thả ra/phát sóng),[1],連: 解放に関する / 類: giải phóng,vocab
640,総合,そうごう,sougou,Tổng Hợp,tổng hợp -  cùng nhau,Danh từ,総合について詳しく調査する。,Nghiên cứu kỹ lưỡng về tổng hợp.,総 (Tổng: tổng cộng/toàn bộ) + 合 (Hợp: thích hợp/gặp gỡ),[1],連: 総合に関する / 類: tổng hợp,vocab
641,連続,れんぞく,renzoku,Liên Tục,liên tục -  dài tập,Danh từ,連続について詳しく調査する。,Nghiên cứu kỹ lưỡng về liên tục.,連 (Liên: kết nối/liên lạc/dẫn theo) + 続 (Tục: tiếp tục/liên tục),[1],連: 連続に関する / 類: liên tục,vocab
642,持続,じぞく,jizoku,Trì Tục,duy trì -  tiếp tục,Danh từ,持続について詳しく調査する。,Nghiên cứu kỹ lưỡng về duy trì.,持 (Trì: cầm/nắm giữ/duy trì) + 続 (Tục: tiếp tục/liên tục),[0],連: 持続に関する / 類: duy trì,vocab
643,中断,ちゅうだん,chuudan,Trung Đoạn,gián đoạn -  tạm dừng,Danh từ,中断について詳しく調査する。,Nghiên cứu kỹ lưỡng về gián đoạn.,中 (Trung: trong/ở giữa) + 断 (Đoạn: cắt đứt/từ chối/phán đoán),[1],連: 中断に関する / 類: gián đoạn,vocab
644,安定,あんてい,antei,An Định,ổn định,Danh từ,安定について詳しく調査する。,Nghiên cứu kỹ lưỡng về ổn định.,安 (An: an toàn/yên ổn/rẻ) + 定 (Định: cố định/quy định),[1],連: 安定に関する / 類: ổn định,vocab
645,混乱,こんらん,konran,Hỗn Loạn,lúng túng -  hỗn loạn,Danh từ,混乱について詳しく調査する。,Nghiên cứu kỹ lưỡng về lúng túng.,混 (Hỗn: hỗn tạp/pha trộn) + 乱 (Loạn: rối loạn/hỗn loạn),[1],連: 混乱に関する / 類: lúng túng,vocab
646,上昇,じょうしょう,joushou,Thượng Thăng,tiến lên -  tăng lên -  bốc lên,Động từ nhóm 1,状況に合わせて適切に上昇。,Tiến lên một cách phù hợp theo tình huống.,上 (Thượng: trên/lên) + 昇 (Thăng: lên cao/thăng tiến),[1],連: 上昇に関する / 類: tiến lên,vocab
647,達成,たっせい,tassei,Đạt Thành,đạt được -  hoàn thành,Danh từ,達成について詳しく調査する。,Nghiên cứu kỹ lưỡng về đạt được.,達 (Đạt: đạt được/thông đạt/nhóm người) + 成 (Thành: hoàn thành/trở thành),[1],連: 達成に関する / 類: đạt được,vocab
648,事情,じじょう,jijou,Sự Tình,tình hình -  điều kiện,Động từ nhóm 1,状況に合わせて適切に事情。,Tình hình một cách phù hợp theo tình huống.,事 (Sự: sự việc/công việc) + 情 (Tình: tình cảm/hoàn cảnh),[1],連: 事情に関する / 類: tình hình,vocab
