Chuong,Ten_Chuong,STT_Goc_Tu_Vung,So_Luong_Tu_Vung,STT_Goc_Ngu_Phap,So_Luong_Ngu_Phap
1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),STT 1 ➔ STT 39,39,STT 1 ➔ STT 6,6
2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",STT 40 ➔ STT 78,39,STT 7 ➔ STT 12,6
3,Chương 3: Sinh hoạt hàng ngày & Thói quen (日常生活と習慣),STT 79 ➔ STT 117,39,STT 13 ➔ STT 18,6
4,"Chương 4: Ăn uống, Ẩm thực & Nấu nướng (飲食・料理と食事)",STT 118 ➔ STT 156,39,STT 19 ➔ STT 24,6
5,"Chương 5: Nhà cửa, Nơi ở & Tiện ích (住まい・住宅と設備)",STT 157 ➔ STT 195,39,STT 25 ➔ STT 30,6
6,Chương 6: Giao thông & Đi lại (交通・移動と乗り物),STT 196 ➔ STT 234,39,STT 31 ➔ STT 36,6
7,Chương 7: Mua sắm & Tiêu dùng (買い物・消費とサービス),STT 235 ➔ STT 273,39,STT 37 ➔ STT 42,6
8,Chương 8: Cảm xúc & Tâm trạng con người (感情・気分と心理),STT 274 ➔ STT 312,39,STT 43 ➔ STT 48,6
9,Chương 9: Tính cách & Thái độ ứng xử (性格・態度と人柄),STT 313 ➔ STT 351,39,STT 49 ➔ STT 54,6
10,Chương 10: Giao tiếp & Mối quan hệ xã hội (コミュニケーションと社交),STT 352 ➔ STT 390,39,STT 55 ➔ STT 60,6
11,"Chương 11: Học tập, Thi cử & Trường học (学習・試験と学校教育)",STT 391 ➔ STT 429,39,STT 61 ➔ STT 66,6
12,Chương 12: Tìm việc & Phỏng vấn tuyển dụng (就職活動・面接と採用),STT 430 ➔ STT 468,39,STT 67 ➔ STT 72,6
13,Chương 13: Môi trường công sở & Đồng nghiệp (職場環境・同僚と業務),STT 469 ➔ STT 507,39,STT 73 ➔ STT 78,6
14,"Chương 14: Kế hoạch, Họp hành & Đàm phán (計画・会議と交渉)",STT 508 ➔ STT 546,39,STT 79 ➔ STT 84,6
15,"Chương 15: Kinh doanh, Thương mại & Thị trường (ビジネス・商業と市場)",STT 547 ➔ STT 585,39,STT 85 ➔ STT 90,6
16,"Chương 16: Kinh tế, Tài chính & Đầu tư (経済・金融と投資)",STT 586 ➔ STT 624,39,STT 91 ➔ STT 96,6
17,"Chương 17: Khoa học, Công nghệ & Kỹ thuật (科学・技術とIT)",STT 625 ➔ STT 663,39,STT 97 ➔ STT 102,6
18,"Chương 18: Tự nhiên, Môi trường & Khí hậu (自然・環境と気候)",STT 664 ➔ STT 702,39,STT 103 ➔ STT 108,6
19,"Chương 19: Thời tiết, Thiên tai & Phòng chống (天気・災害と防災)",STT 703 ➔ STT 741,39,STT 109 ➔ STT 114,6
20,"Chương 20: Xã hội, Pháp luật & Trật tự (社会・法律と秩序)",STT 742 ➔ STT 780,39,STT 115 ➔ STT 120,6
21,"Chương 21: Tin tức, Truyền thông & Báo chí (ニュース・メディアと報道)",STT 781 ➔ STT 818,38,STT 121 ➔ STT 126,6
22,"Chương 22: Văn hóa, Nghệ thuật & Truyền thống (文化・芸術と伝統)",STT 819 ➔ STT 856,38,STT 127 ➔ STT 132,6
23,"Chương 23: Du lịch, Thể thao & Giải trí (旅行・スポーツと娯楽)",STT 857 ➔ STT 894,38,STT 133 ➔ STT 138,6
24,"Chương 24: Thời gian, Thay đổi & Quá trình (時間・変化とプロセス)",STT 895 ➔ STT 932,38,STT 139 ➔ STT 144,6
25,"Chương 25: Đánh giá, Phán đoán & So sánh (評価・判断と比較)",STT 933 ➔ STT 970,38,STT 145 ➔ STT 150,6
26,"Chương 26: Tranh luận, Lý lẽ & Quan điểm (議論・主張と見解)",STT 971 ➔ STT 1008,38,STT 151 ➔ STT 155,5
27,"Chương 27: Rắc rối, Thất bại & Khắc phục (トラブル・失敗と克服)",STT 1009 ➔ STT 1046,38,STT 156 ➔ STT 160,5
28,"Chương 28: Khen ngợi, Động viên & Trách móc (称賛・励ましと批判)",STT 1047 ➔ STT 1084,38,STT 161 ➔ STT 165,5
29,"Chương 29: Mong ước, Hy vọng & Tương lai (希望・将来と夢)",STT 1085 ➔ STT 1122,38,STT 166 ➔ STT 170,5
30,"Chương 30: Trưởng thành, Thành công & Đúc kết (成長・成功と総括)",STT 1123 ➔ STT 1160,38,STT 171 ➔ STT 175,5
