stt,term,reading,romaji,han_viet,meaning,type,exam_ja,exam_vi,kanji_breakdown,pitch_accent,synonyms_antonyms,card_type
1061,欠ける,かける,kakeru,Khiếm,bỏ lỡ -  thiếu sót,Động từ nhóm 2,状況に合わせて適切に欠ける。,Bỏ lỡ một cách phù hợp theo tình huống.,欠 (Khiếm: thiếu sót/khiếm khuyết),[0],連: 欠けるに関する / 類: bỏ lỡ,vocab
1062,欠かす,かかす,kakasu,Khiếm,thiếu -  bỏ qua,Động từ nhóm 1,状況に合わせて適切に欠かす。,Thiếu một cách phù hợp theo tình huống.,欠 (Khiếm: thiếu sót/khiếm khuyết),[0],連: 欠かすに関する / 類: thiếu,vocab
1063,澄む,すむ,sumu,Trừng,trong sạch -  sáng -  trong trẻo,Động từ nhóm 1,状況に合わせて適切に澄む。,Trong sạch một cách phù hợp theo tình huống.,澄 (Trừng: trong trẻo/thanh khiết),[0],連: 澄むに関する / 類: trong sạch,vocab
1064,濁る,にごる,nigoru,Trọc,dính bùn -  đục,Động từ nhóm 1,状況に合わせて適切に濁る。,Dính bùn một cách phù hợp theo tình huống.,濁 (Trọc: đục ngầu/vẩn đục),[0],連: 濁るに関する / 類: dính bùn,vocab
1065,濁す,にごす,nigosu,Trọc,ngập ngừng -  làm đục -  mơ hổ,Động từ nhóm 1,状況に合わせて適切に濁す。,Ngập ngừng một cách phù hợp theo tình huống.,濁 (Trọc: đục ngầu/vẩn đục),[0],連: 濁すに関する / 類: ngập ngừng,vocab
1066,生じる,しょうじる,shoujiru,Sinh,phát sinh -  nguyên nhân,Động từ nhóm 1,状況に合わせて適切に生じる。,Phát sinh một cách phù hợp theo tình huống.,生 (Sinh: sinh sống/sinh đẻ/sống),[1],連: 生じるに関する / 類: phát sinh,vocab
1067,及ぶ,およぶ,oyobu,Cập,đạt đến -  lan ra -  đuổi kịp,Động từ nhóm 1,状況に合わせて適切に及ぶ。,Đạt đến một cách phù hợp theo tình huống.,及 (Cập: lan tới/đạt tới),[0],連: 及ぶに関する / 類: đạt đến,vocab
1068,及ぼす,およぼす,oyobosu,Cập,gây ra ( ảnh hưởng -  hại ),Động từ nhóm 1,状況に合わせて適切に及ぼす。,Gây ra ( ảnh hưởng một cách phù hợp theo tình huống.,及 (Cập: lan tới/đạt tới),[1],連: 及ぼすに関する / 類: gây ra ( ảnh hưởng,vocab
1069,至る,いたる,itaru,Chí,dẫn đến -  đi đến -  đạt tới,Động từ nhóm 1,状況に合わせて適切に至る。,Dẫn đến một cách phù hợp theo tình huống.,至 (Chí: đến nơi/tột cùng),[0],連: 至るに関する / 類: dẫn đến,vocab
1070,達する,たっする,tassuru,Đạt,đến -  chạm tới,Động từ する,計画を慎重に達する。,Thực hiện đến kế hoạch một cách thận trọng.,達 (Đạt: đạt được/thông đạt/nhóm người),[1],連: 達するに関する / 類: đến,vocab
