STT_Goc,Chuong,Ten_Chuong,Pattern,Reading,Meaning,Connection,Level
1,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),〜げ（な／に）,〜げ（な／に）,"Có vẻ, mang cảm giác...",A-i (bỏ い) / A-na (bỏ な) / V-masu (bỏ ます) + げ,N2
2,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),〜がち,〜がち,"Thường hay, dễ bị (xu hướng xấu)",V-masu (bỏ ます) / N + がち,N2
3,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),〜っぽい,〜っぽい,"Hơi có vẻ, đậm chất, hay (mang tính chất)",N / A-i (bỏ い) / V-masu (bỏ ます) + っぽい,N2
4,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),〜気味,〜ぎみ,"Có vẻ, có triệu chứng nhẹ là...",V-masu (bỏ ます) / N + 気味,N2
5,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),Vれるものなら / Vれるもんなら,Vれるものなら,Nếu như có thể làm được thì...,V-khả năng + ものなら / もんなら,N2
6,1,Chương 1: Quan hệ con người & Gia đình (人間関係と家族),〜ものだから / 〜もんだから,〜ものだから,"Vì... (biện bạch, giải thích lý do)","V / A / N (thể thông thường, N + な) + ものだから",N2
7,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",〜もの / 〜もん,〜もの / 〜もん,"Vì... mà! (nói lý do mang tính nũng nịu, biện bạch)",V / A / N (thể thông thường) + もの / もん,N2
8,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",〜ものの,〜ものの,Mặc dù... nhưng...,"V / A / N (thể thông thường, N + である) + ものの",N2
9,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",Nはもとより〜も,Nはもとより〜も,Không chỉ N mà ngay cả... cũng (N là đương nhiên),N + はもとより 〜 も,N2
10,2,"Chương 2: Cơ thể, Sức khỏe & Y tế (身体・健康と医療)",N1はともかく（として）N2は / が,N1はともかく（として）N2は / が,"N1 thì tạm gác lại, trước hết N2...",N + はともかく（として）,N2
