stt,term,reading,romaji,han_viet,meaning,type,exam_ja,exam_vi,kanji_breakdown,pitch_accent,synonyms_antonyms,card_type
171,下げる,さげる,sageru,Hạ,giảm đi -  cúi đầu -  thu dọn bát đĩa,Động từ nhóm 1,状況に合わせて適切に下げる。,Giảm đi một cách phù hợp theo tình huống.,下 (Hạ: dưới/xuống),[0],連: 下げるに関する / 類: giảm đi,vocab
172,転がる,ころがる,korogaru,Chuyển,(tự) lăn -  bị đổ ngã -  nằm xuống -  rải rác bừa bộn...,Động từ nhóm 1,状況に合わせて適切に転がる。,(tự) lăn một cách phù hợp theo tình huống.,転 (Chuyển: chuyển dịch/ngã lăn),[1],連: 転がるに関する / 類: (tự) lăn,vocab
173,転がす,ころがす,korogasu,Chuyển,dắt -  lắc -  lăn,Động từ nhóm 1,状況に合わせて適切に転がす。,Dắt một cách phù hợp theo tình huống.,転 (Chuyển: chuyển dịch/ngã lăn),[1],連: 転がすに関する / 類: dắt,vocab
174,傾く,かたむく,katamuku,Khuynh,nghiêng -  ngả -  hướng về -  đổ,Động từ nhóm 1,状況に合わせて適切に傾く。,Nghiêng một cách phù hợp theo tình huống.,傾 (Khuynh: nghiêng/nghiêng ngả),[1],連: 傾くに関する / 類: nghiêng,vocab
175,傾ける,かたむける,katamukeru,Khuynh,nghiêng -  làn suy yếu -  phê bình -  chê bai...,Động từ nhóm 2,状況に合わせて適切に傾ける。,Nghiêng một cách phù hợp theo tình huống.,傾 (Khuynh: nghiêng/nghiêng ngả),[1],連: 傾けるに関する / 類: nghiêng,vocab
176,裏返す,うらがえす,uragaesu,Lý Phản,lật úp -  lộn ngược,Động từ nhóm 1,状況に合わせて適切に裏返す。,Lật úp một cách phù hợp theo tình huống.,裏 (Lý: mặt trái/phía sau) + 返 (Phản: trả lại/đáp lại),[1],連: 裏返すに関する / 類: lật úp,vocab
177,散らかる,ちらかる,chirakaru,Tán,bừa bộn -  lôi thôi,Động từ nhóm 1,状況に合わせて適切に散らかる。,Bừa bộn một cách phù hợp theo tình huống.,散 (Tán: phân tán/rải rác),[1],連: 散らかるに関する / 類: bừa bộn,vocab
178,散らかす,ちらかす,chirakasu,Tán,vứt lung tung -  bừa bãi,Động từ nhóm 1,状況に合わせて適切に散らかす。,Vứt lung tung một cách phù hợp theo tình huống.,散 (Tán: phân tán/rải rác),[1],連: 散らかすに関する / 類: vứt lung tung,vocab
179,散らばる,ちらばる,chirabaru,Tán,văng tứ tung -  rải rác,Động từ nhóm 1,状況に合わせて適切に散らばる。,Văng tứ tung một cách phù hợp theo tình huống.,散 (Tán: phân tán/rải rác),[1],連: 散らばるに関する / 類: văng tứ tung,vocab
180,刻む,きざむ,kizamu,Khắc,cắt -  chạm khắc -  ghi lại,Động từ nhóm 1,状況に合わせて適切に刻む。,Cắt một cách phù hợp theo tình huống.,刻 (Khắc: khắc/thời khắc),[0],連: 刻むに関する / 類: cắt,vocab
181,挟まる,はさまる,hasamaru,Hiệp,bị kẹp,Động từ nhóm 1,状況に合わせて適切に挟まる。,Bị kẹp một cách phù hợp theo tình huống.,挟 (Hiệp: kẹp vào/xen vào),[1],連: 挟まるに関する / 類: bị kẹp,vocab
182,挟む,はさむ,hasamu,Hiệp,kẹp -  nói chen vào,Động từ nhóm 1,状況に合わせて適切に挟む。,Kẹp một cách phù hợp theo tình huống.,挟 (Hiệp: kẹp vào/xen vào),[0],連: 挟むに関する / 類: kẹp,vocab
183,つぶれる,つぶれる,tsubureru,-,sụp đổ -  xẹp lép -  phá sản,Động từ nhóm 2,不景気で会社がつぶれる。,Do kinh tế suy thoái nên công ty bị sụp đổ.,-,[1],連: つぶれるに関する / 類: sụp đổ,vocab
184,つぶす,つぶす,tsubusu,-,hạ,Động từ nhóm 1,状況に合わせて適切につぶす。,Hạ một cách phù hợp theo tình huống.,-,[0],連: つぶすに関する / 類: hạ,vocab
185,へこむ,へこむ,hekomu,-,lõm -  chán nản,Động từ nhóm 1,車がぶつかってドアがへこむ。,Xe va chạm nên cửa bị lõm.,-,[0],連: へこむに関する / 類: lõm,vocab
186,ほどける,ほどける,hodokeru,-,cởi ra -  giải quyết,Động từ nhóm 2,靴のひもがほどける。,Dây giày đã bị cởi ra.,-,[1],連: ほどけるに関する / 類: cởi ra,vocab
187,ほどく,ほどく,hodoku,-,cởi,Động từ nhóm 1,状況に合わせて適切にほどく。,Cởi một cách phù hợp theo tình huống.,-,[0],連: ほどくに関する / 類: cởi,vocab
188,枯れる,かれる,kareru,Khô,bị héo -  cạn khô -  khàn giọng,Động từ nhóm 2,状況に合わせて適切に枯れる。,Bị héo một cách phù hợp theo tình huống.,枯 (Khô: héo tàn/khô cằn),[0],連: 枯れるに関する / 類: bị héo,vocab
189,枯らす,からす,karasu,Khô,làm cho héo,Động từ nhóm 1,状況に合わせて適切に枯らす。,Làm cho héo một cách phù hợp theo tình huống.,枯 (Khô: héo tàn/khô cằn),[0],連: 枯らすに関する / 類: làm cho héo,vocab
190,傷む,いたむ,itamu,Thương,hông -  ôi thiu -  tổn thương,Động từ nhóm 1,状況に合わせて適切に傷む。,Hông một cách phù hợp theo tình huống.,傷 (Thương: vết thương/tổn thương),[0],連: 傷むに関する / 類: hông,vocab
191,湿る,しめる,shimeru,Thấp,bị ẩm -  iu ( đồ ăn ),Động từ nhóm 2,状況に合わせて適切に湿る。,Bị ẩm một cách phù hợp theo tình huống.,湿 (Thấp: ẩm ướt/độ ẩm),[0],連: 湿るに関する / 類: bị ẩm,vocab
192,凍る,こおる,kooru,Đống,đông băng -  lạnh cóng,Động từ nhóm 1,状況に合わせて適切に凍る。,Đông băng một cách phù hợp theo tình huống.,凍 (Đống: đông đá/đóng băng),[0],連: 凍るに関する / 類: đông băng,vocab
193,震える,ふるえる,furueru,Chấn,run rẩy,Động từ nhóm 2,状況に合わせて適切に震える。,Run rẩy một cách phù hợp theo tình huống.,震 (Chấn: rung chấn/động đất),[1],連: 震えるに関する / 類: run rẩy,vocab
194,輝く,かがやく,kagayaku,Huy,tỏa sáng -  huy hoàng,Động từ nhóm 1,状況に合わせて適切に輝く。,Tỏa sáng một cách phù hợp theo tình huống.,輝 (Huy: tỏa sáng/huy hoàng),[1],連: 輝くに関する / 類: tỏa sáng,vocab
195,あふれる,あふれる,afureru,-,tràn -  đầy -  giàn giụa,Động từ nhóm 2,喜びの涙が目からあふれる。,Nước mắt vui sướng tràn ra khỏi khóe mắt.,-,[1],連: あふれるに関する / 類: tràn,vocab
196,余る,あまる,amaru,Dư,còn sót lại -  dư thừa,Động từ nhóm 1,状況に合わせて適切に余る。,Còn sót lại một cách phù hợp theo tình huống.,余 (Dư: thừa/dư thừa),[0],連: 余るに関する / 類: còn sót lại,vocab
197,目立つ,めだつ,medatsu,Mục Lập,nổi bật -  đập vào mắt,Động từ nhóm 1,状況に合わせて適切に目立つ。,Nổi bật một cách phù hợp theo tình huống.,目 (Mục: mắt/mục tiêu) + 立 (Lập: đứng/thành lập),[0],連: 目立つに関する / 類: nổi bật,vocab
198,見下ろす,みおろす,miorosu,Kiến Hạ,nhìn xuống -  coi khinh,Động từ nhóm 1,状況に合わせて適切に見下ろす。,Nhìn xuống một cách phù hợp theo tình huống.,見 (Kiến: nhìn/quan sát/gặp) + 下 (Hạ: dưới/xuống),[1],連: 見下ろすに関する / 類: nhìn xuống,vocab
199,戦う/闘う,たたかう,tatakau,Chiến Đấu,đánh nhau -  tranh chấp,Động từ nhóm 1,状況に合わせて適切に戦う/闘う。,Đánh nhau một cách phù hợp theo tình huống.,戦 (Chiến: chiến đấu/chiến tranh) + 闘 (Đấu: chiến đấu/đấu tranh),[1],連: 戦う/闘うに関する / 類: đánh nhau,vocab
200,敗れる,やぶれる,yabureru,Bại,bị đánh bại -  thua,Động từ nhóm 2,状況に合わせて適切に敗れる。,Bị đánh bại một cách phù hợp theo tình huống.,敗 (Bại: thất bại/thua cuộc),[1],連: 敗れるに関する / 類: bị đánh bại,vocab
201,逃げる,にげる,nigeru,Đào,chạy trốn -  tránh nạn,Động từ nhóm 1,状況に合わせて適切に逃げる。,Chạy trốn một cách phù hợp theo tình huống.,逃 (Đào: chạy trốn/trốn tránh),[0],連: 逃げるに関する / 類: chạy trốn,vocab
