stt,pattern,reading,meaning,connection,usage_notes,level,exam_ja_1,exam_vi_1,exam_ja_2,exam_vi_2,similar_patterns,card_type
1,〜げ（な／に）,〜げ（な／に）,"Có vẻ, mang cảm giác...",A-i (bỏ い) / A-na (bỏ な) / V-masu (bỏ ます) + げ,"Dùng miêu tả tâm trạng, cảm xúc hoặc trạng thái của người khác qua vẻ bề ngoài, cử chỉ, ánh mắt. Thường không dùng cho bản thân.",N2,彼女は悲しげな表情でうつむいていた。,Cô ấy cúi gầm mặt với vẻ mặt có vẻ đau buồn.,彼は自信ありげに手を挙げた。,Anh ấy giơ tay với vẻ đầy tự tin.,類: 〜そう (phổ biến hơn) / 〜っぽい (thiên về tính chất),grammar
2,〜がち,〜がち,"Thường hay, dễ bị (xu hướng xấu)",V-masu (bỏ ます) / N + がち,"Biểu thị một xu hướng tiêu cực hoặc không mong muốn dễ lặp đi lặp lại (hay ốm, hay vắng mặt, dễ hiểu lầm).",N2,一人暮らしの人は野菜不足になりがちだ。,Người sống một mình thường hay bị thiếu rau xanh.,最近、彼は体調を崩しがちで会社を休んでいる。,Gần đây anh ấy hay bị ốm nên nghỉ làm.,類: 〜やすい (dễ xảy ra tính chất vật lý) / 対: 〜にくい,grammar
3,〜っぽい,〜っぽい,"Hơi có vẻ, đậm chất, hay (mang tính chất)",N / A-i (bỏ い) / V-masu (bỏ ます) + っぽい,"Cảm giác có tính chất đó mạnh mẽ, hoặc dễ nổi cáu, mau chán (dùng trong khẩu ngữ, văn nói).",N2,彼は怒りっぽい性格だから気をつけて。,Anh ấy tính tình rất hay nổi nóng nên hãy cẩn thận.,このスープは油っぽくて口に合わない。,Món súp này nhiều dầu mỡ quá không hợp khẩu vị của tôi.,類: 〜らしい (đúng bản chất thực) / 〜気味 (có triệu chứng),grammar
4,〜気味,〜ぎみ,"Có vẻ, có triệu chứng nhẹ là...",V-masu (bỏ ます) / N + 気味,"Cảm thấy hơi có triệu chứng, khuynh hướng không tốt (cảm cúm, mệt mỏi, căng thẳng).",N2,風邪気味なので、今夜は早く寝ます。,Tôi cảm thấy hơi bị cảm nên tối nay sẽ đi ngủ sớm.,最近仕事が忙しくて寝不足気味だ。,Dạo gần đây công việc bận rộn nên tôi hơi có triệu chứng thiếu ngủ.,類: 〜がち (tần suất lặp lại nhiều lần) / 〜っぽい,grammar
5,Vれるものなら / Vれるもんなら,Vれるものなら,Nếu như có thể làm được thì...,V-khả năng + ものなら / もんなら,Giả định một việc thực tế gần như không thể hoặc rất khó thực hiện. Vế sau thể hiện nguyện vọng mãnh liệt của người nói.,N2,帰れるものなら、今すぐ国へ帰りたい。,Nếu mà về được thì tôi muốn về nước ngay lúc này.,やり直せるものなら、人生をもう一度やり直したい。,Nếu có thể làm lại được thì tôi muốn làm lại cuộc đời một lần nữa.,類: 〜なら (điều kiện thông thường) / 〜ものなら (thách thức: làm thử xem),grammar
6,〜ものだから / 〜もんだから,〜ものだから,"Vì... (biện bạch, giải thích lý do)","V / A / N (thể thông thường, N + な) + ものだから","Dùng để phân trần, giải thích lý do cho một tình huống bất khả kháng ngoài dự tính (thường gặp khi xin lỗi hoặc giải trình).",N2,バスが遅れたものだから、遅刻してしまいました。,Vì xe buýt đến trễ nên tôi đã bị muộn.,あまりに美味しかったものだから、全部食べてしまった。,Vì món ăn ngon quá nên tôi đã lỡ ăn hết sạch.,類: 〜ので / 〜から (khách quan hơn) / 〜もの (văn nói phân bua),grammar
7,〜もの / 〜もん,〜もの / 〜もん,"Vì... mà! (nói lý do mang tính nũng nịu, biện bạch)",V / A / N (thể thông thường) + もの / もん,"Thường dùng ở cuối câu trong văn nói thân mật (phụ nữ, trẻ em), biện minh cho hành động của mình.",N2,「どうして食べないの？」「だって、嫌いなんだもん。」,「Sao con không ăn?」「Tại vì con ghét món này mà.」,まだ子供なんだもの、失敗しても仕方がないよ。,"Nó vẫn còn là con nít mà, có thất bại cũng đành chịu thôi.",類: 〜から (trung tính),grammar
8,〜ものの,〜ものの,Mặc dù... nhưng...,"V / A / N (thể thông thường, N + である) + ものの","Vế A là sự thật đã thừa nhận, nhưng vế B xảy ra không như kỳ vọng hay kết quả tương xứng. Hay dùng trong văn viết.",N2,大学を卒業したものの、就職先が決まらない。,Mặc dù đã tốt nghiệp đại học nhưng tôi vẫn chưa tìm được chỗ làm việc.,春とはいうものの、まだまだ寒い日が続いている。,Mặc dù nói là mùa xuân nhưng những ngày lạnh giá vẫn tiếp diễn.,類: 〜けれども / 〜とはいえ / 〜にもかかわらず,grammar
9,Nはもとより〜も,Nはもとより〜も,Không chỉ N mà ngay cả... cũng (N là đương nhiên),N + はもとより 〜 も,"Vế trước là điều hiển nhiên, đương nhiên; vế sau bổ sung thêm một yếu tố khác vượt ngoài mức thông thường.",N2,この温泉は日本人はもとより、外国人観光客にも人気がある。,Suối nước nóng này không chỉ người Nhật mà ngay cả khách du lịch nước ngoài cũng rất yêu thích.,彼女は英語はもとより、フランス語も流暢に話せる。,Cô ấy không chỉ tiếng Anh mà ngay cả tiếng Pháp cũng nói rất lưu loát.,類: 〜はもちろん (thông dụng) / 〜ばかりか,grammar
10,N1はともかく（として）N2は / が,N1はともかく（として）N2は / が,"N1 thì tạm gác lại, trước hết N2...",N + はともかく（として）,"Tạm thời không bàn tới N1 (vì chưa quan trọng hoặc khó đạt được), mà ưu tiên nhấn mạnh vào N2.",N2,値段はともかく、デザインがとても気に入った。,"Giá cả thì tạm gác sang một bên, tôi rất thích kiểu dáng của nó.",結果はともかく、全力を尽くすことが大切だ。,"Kết quả ra sao thì chưa tính tới, quan trọng nhất là phải nỗ lực hết mình.",類: 〜はさておき / 〜は別として,grammar
11,N1はまだしもN2...,N1はまだしもN2...,"N1 thì còn châm chước được, chứ N2 thì không thể",N + はまだしも,"Biểu thị N1 dù có khuyết điểm nhưng vẫn ở mức tạm chấp nhận được, còn N2 thì tệ hơn nhiều hoặc hoàn toàn không thể chấp nhận.",N2,10分や20分の遅刻ならまだしも、1時間も待たせるなんて許せない。,"Trễ 10 hay 20 phút thì còn chấp nhận được, chứ bắt đợi cả tiếng đồng hồ thì không thể tha thứ.",一度の失敗ならまだしも、何度も同じミスを繰り返すのは問題だ。,"Thất bại một lần thì còn châm chước, chứ lặp đi lặp lại cùng một lỗi nhiều lần là có vấn đề.",類: 〜ならまだいい / 〜なら許せる,grammar
12,〜たまらない,〜たまらない,...không chịu nổi / cực kỳ... (cảm xúc không thể kìm nén),A-i (くて) / A-na (で) / V-te + たまらない,"Diễn tả cảm xúc, mong muốn hoặc cảm giác cơ thể (như đói, khát, đau) mạnh mẽ đến mức không thể kiềm chế hay chịu đựng được.",N2,今日は暑くてたまらないから、冷たいジュースが飲みたい。,Hôm nay trời nóng không chịu nổi nên tôi muốn uống nước trái cây mát lạnh.,合格の知らせを聞いて、嬉しくてたまらなかった。,"Nghe tin đỗ kỳ thi, tôi vui mừng khôn xiết.",類: 〜てしょうがない / 〜てならない,grammar
13,〜仕方がない / 〜しょうがない,〜しかたがない / 〜しょうがない,...vô cùng / không biết phải làm sao / đành chịu,A-i (くて) / A-na (で) / V-te + 仕方がない,"Diễn tả cảm xúc tự nhiên trào dâng không kiểm soát được, hoặc tình huống không còn phương sách nào khác.",N2,一人で外国に住んでいると、寂しくて仕方がない。,"Sống một mình ở nước ngoài, tôi cảm thấy cô đơn vô cùng.",終わってしまったことは悔やんでも仕方がない。,Chuyện đã qua rồi thì có hối hận cũng chẳng làm được gì.,類: 〜てたまらない / 〜てならない,grammar
14,〜かなわない,〜かなわない,"Không thể chịu đựng nổi vì... (phiền toái, bực bội)",A-i (くて) / A-na (で) + かなわない,"Dùng khi người nói cảm thấy vô cùng khó chịu, bất tiện hoặc bực mình trước một hoàn cảnh do người khác hoặc thời tiết gây ra.",N2,隣の部屋の音がうるさくてかなわない。,Âm thanh phòng bên cạnh ồn ào không tài nào chịu nổi.,こんなに毎日雨ばかりではかなわない。,Cứ mưa suốt ngày thế này thì thật là không chịu nổi.,類: 〜てたまらない / 〜て困る,grammar
15,〜ならない,〜ならない,Hết sức... / Vô cùng... (cảm xúc tự phát sâu kín),A-i (くて) / A-na (で) / V-te + ならない,"Thường đi kèm với các động từ/tính từ chỉ tâm trạng xuất phát tự nhiên từ đáy lòng (lo lắng, nhớ nhung, thương cảm...). Mang tính văn viết.",N2,母の病気のことが心配でならない。,Tôi hết sức lo lắng cho bệnh tình của mẹ.,結果がどうなるのか、気になってならない。,Tôi vô cùng bận tâm không biết kết quả sẽ ra sao.,類: 〜てたまらない (thiên về cảm giác cơ thể) / 〜てしょうがない,grammar
16,〜ないことはない,〜ないことはない,Không phải là không... (khẳng định nhẹ / miễn cưỡng),V-nai / A-i (くない) / A-na (ではない) + ことはない,"Phủ định của phủ định để tạo nên lời khẳng định dè dặt, không hoàn toàn tự tin nhưng vẫn có khả năng.",N2,納豆は食べられないことはないが、あまり好きではない。,"Natto thì không phải là tôi không ăn được, nhưng không thích lắm.",走れば間に合わないこともないから、急ごう。,"Nếu chạy thì không phải là không kịp, nên hãy mau lên nào.",類: 〜ないこともない / 〜一応できる,grammar
