stt,term,reading,romaji,han_viet,meaning,type,exam_ja,exam_vi,kanji_breakdown,pitch_accent,synonyms_antonyms,card_type
1111,せいぜい,せいぜい,seizei,-,Tối đa -  không hơn được nữa -  căng lắm là,Tính từ -i,この問題は非常にせいぜい。,Vấn đề này rất Tối đa.,-,[1],連: せいぜいに関する / 類: Tối đa,vocab
1112,どうせ,どうせ,douse,-,dù cho -  đằng nào thì,Phó từ,どうせ物事が進んでいる。,Mọi việc đang tiến triển (dù cho).,-,[0],連: どうせに関する / 類: dù cho,vocab
1113,ぎっしり,ぎっしり,gisshiri,-,lèn chặt -  chặt kín -  sin sit,Phó từ,ぎっしり物事が進んでいる。,Mọi việc đang tiến triển (lèn chặt).,-,[1],連: ぎっしりに関する / 類: lèn chặt,vocab
1114,ずらりと,ずらりと,zurarito,-,hàng loạt,Danh từ,ずらりとについて詳しく調査する。,Nghiên cứu kỹ lưỡng về hàng loạt.,-,[1],連: ずらりとに関する / 類: hàng loạt,vocab
1115,あっさり,あっさり,assari,-,Thanh đạm -  dễ dàng -  nhanh chóng,Phó từ,あっさり物事が進んでいる。,Mọi việc đang tiến triển (Thanh đạm).,-,[1],連: あっさりに関する / 類: Thanh đạm,vocab
1116,しんと・しいんと,しんと・しいんと,shinto・shiinto,-,yên lặng -  lặng lẽ,Danh từ,しんと・しいんとについて詳しく調査する。,Nghiên cứu kỹ lưỡng về yên lặng.,-,[1],連: しんと・しいんとに関する / 類: yên lặng,vocab
1117,ちゃんと,ちゃんと,chanto,-,nghiêm túc -  cẩn thận -  chắc chắn -  nhanh chóng,Danh từ,ちゃんとについて詳しく調査する。,Nghiên cứu kỹ lưỡng về nghiêm túc.,-,[1],連: ちゃんとに関する / 類: nghiêm túc,vocab
1118,続々,ぞくぞく,zokuzoku,Tục,liên tục -  nối đuôi nhau,Danh từ,続々について詳しく調査する。,Nghiên cứu kỹ lưỡng về liên tục.,続 (Tục: tiếp tục/liên tục),[1],連: 続々に関する / 類: liên tục,vocab
1119,どっと,どっと,dotto,-,bất thình lình -  bất chợt,Danh từ,どっとについて詳しく調査する。,Nghiên cứu kỹ lưỡng về bất thình lình.,-,[0],連: どっとに関する / 類: bất thình lình,vocab
1120,ばったり,ばったり,battari,-,đột nhiên -  bất ngờ -  tình cờ,Phó từ,ばったり物事が進んでいる。,Mọi việc đang tiến triển (đột nhiên).,-,[1],連: ばったりに関する / 類: đột nhiên,vocab
1121,さっさと,さっさと,sassato,-,nhanh chóng -  gấp rút,Danh từ,さっさとについて詳しく調査する。,Nghiên cứu kỹ lưỡng về nhanh chóng.,-,[1],連: さっさとに関する / 類: nhanh chóng,vocab
1122,さっと,さっと,satto,-,thoắt 1 cái -  trong tích tắc,Danh từ,さっとについて詳しく調査する。,Nghiên cứu kỹ lưỡng về thoắt 1 cái.,-,[0],連: さっとに関する / 類: thoắt 1 cái,vocab
1123,すっと,すっと,sutto,-,Nhanh như chớp -  thoải mái -  nhẹ nhàng,Danh từ,すっとについて詳しく調査する。,Nghiên cứu kỹ lưỡng về Nhanh như chớp.,-,[0],連: すっとに関する / 類: Nhanh như chớp,vocab
1124,せっせと,せっせと,sesseto,-,siêng năng -  cần cù,Danh từ,せっせとについて詳しく調査する。,Nghiên cứu kỹ lưỡng về siêng năng.,-,[1],連: せっせとに関する / 類: siêng năng,vocab
1125,ざっと,ざっと,zatto,-,Qua loa -  đại khái -  lướt qua,Danh từ,ざっとについて詳しく調査する。,Nghiên cứu kỹ lưỡng về Qua loa.,-,[0],連: ざっとに関する / 類: Qua loa,vocab
1126,こっそり,こっそり,kossori,-,Vụng trộm -  lén lút -  nhẹ nhàng -  rón rén,Danh từ,こっそりについて詳しく調査する。,Nghiên cứu kỹ lưỡng về Vụng trộm.,-,[1],連: こっそりに関する / 類: Vụng trộm,vocab
1127,生き生き,いきいき,ikiiki,Sinh Sinh,sinh động -  phấn khích -  hoạt bát -  tràn trề,Danh từ,生き生きについて詳しく調査する。,Nghiên cứu kỹ lưỡng về sinh động.,生 (Sinh: sinh sống/sinh đẻ/sống) + 生 (Sinh: sinh sống/sinh đẻ/sống),[1],連: 生き生きに関する / 類: sinh động,vocab
1128,ぼんやり,ぼんやり,bonyari,-,mờ ảo -  không rõ -  mông lung,Danh từ,ぼんやりについて詳しく調査する。,Nghiên cứu kỹ lưỡng về mờ ảo.,-,[1],連: ぼんやりに関する / 類: mờ ảo,vocab
1129,ふと,ふと,futo,-,đột nhiên -  bất chợt,Danh từ,ふとについて詳しく調査する。,Nghiên cứu kỹ lưỡng về đột nhiên.,-,[0],連: ふとに関する / 類: đột nhiên,vocab
