stt,term,reading,romaji,han_viet,meaning,type,exam_ja,exam_vi,kanji_breakdown,pitch_accent,synonyms_antonyms,card_type
961,維持,いじ,iji,Duy Trì,duy trì,Danh từ,維持について詳しく調査する。,Nghiên cứu kỹ lưỡng về duy trì.,維 (Duy: duy trì/gìn giữ) + 持 (Trì: cầm/nắm giữ/duy trì),[0],連: 維持に関する / 類: duy trì,vocab
962,管理,かんり,kanri,Quản Lý,quản lý -  bảo quản,Danh từ,管理について詳しく調査する。,Nghiên cứu kỹ lưỡng về quản lý.,管 (Quản: quản lý/ống dẫn) + 理 (Lý: lý do/chân lý/xử lý),[0],連: 管理に関する / 類: quản lý,vocab
963,行方,ゆくえ,yukue,Hành Phương,tung tích -  hành tung,Danh từ,行方について詳しく調査する。,Nghiên cứu kỹ lưỡng về tung tích.,行 (Hành: đi/tiến hành/hàng lối) + 方 (Phương: hướng/cách thức/vị),[0],連: 行方に関する / 類: tung tích,vocab
964,端,はし,hashi,Đoan,cạnh -  ven -  bở -  mép,Danh từ,端について詳しく調査する。,Nghiên cứu kỹ lưỡng về cạnh.,端 (Đoan: đầu mút/chính đoan),[0],連: 端に関する / 類: cạnh,vocab
965,場,ば,ba,Trường,địa điểm -  nơi -  chỗ -  nơi,Danh từ,場について詳しく調査する。,Nghiên cứu kỹ lưỡng về địa điểm.,場 (Trường: nơi chốn/hội trường),[0],連: 場に関する / 類: địa điểm,vocab
966,分野,ぶんや,bunya,Phân Dã,lĩnh vực,Danh từ,分野について詳しく調査する。,Nghiên cứu kỹ lưỡng về lĩnh vực.,分 (Phân: chia/phần/hiểu) + 野 (Dã: cánh đồng/lĩnh vực),[0],連: 分野に関する / 類: lĩnh vực,vocab
967,需要,じゅよう,juyou,Nhu Yếu,nhu cầu -  cung cầu,Danh từ,需要について詳しく調査する。,Nghiên cứu kỹ lưỡng về nhu cầu.,需 (Nhu: nhu cầu/cần dùng) + 要 (Yếu: quan trọng/cần thiết),[1],連: 需要に関する / 類: nhu cầu,vocab
968,供給,きょうきゅう,kyoukyuu,Cung Cấp,cung cấp,Danh từ,供給について詳しく調査する。,Nghiên cứu kỹ lưỡng về cung cấp.,供 (Cung: cung cấp/đứa trẻ) + 給 (Cấp: cung cấp/tiền lương),[1],連: 供給に関する / 類: cung cấp,vocab
969,物資,ぶっし,busshi,Vật Tư,vật tư -  cứu trợ,Danh từ,物資について詳しく調査する。,Nghiên cứu kỹ lưỡng về vật tư.,物 (Vật: đồ vật/sự vật) + 資 (Tư: tài sản/tư bản/nguyên liệu),[0],連: 物資に関する / 類: vật tư,vocab
970,用途,ようと,youto,Dụng Đồ,sử dụng -  công dụng,Danh từ,用途について詳しく調査する。,Nghiên cứu kỹ lưỡng về sử dụng.,用 (Dụng: sử dụng/công dụng) + 途 (Đồ: con đường/giữa chừng),[0],連: 用途に関する / 類: sử dụng,vocab
